Date,Open,High,Low,Close,Volume
8/6/2014,607.95,610.88,605.63,606.7,94020497
8/5/2014,600.46,607.73,599.1,607.73,86632550
8/4/2014,592.04,600.52,592.04,599.04,71641464
8/1/2014,594.66,596.8,592.38,593.9,65130297
7/31/2014,589.35,596.11,587.68,596.07,64622962
7/30/2014,591.15,593.58,588.53,589.33,81073130
7/29/2014,590.57,592.24,585.75,592.24,62283321
7/28/2014,599.13,599.35,587.78,589.45,111541350
7/25/2014,603.54,605.78,600.14,600.14,99969048
7/24/2014,597.03,602.49,597.03,602.06,87860250
7/23/2014,599.56,599.56,594.1,597.5,65415149
7/22/2014,599.3,600.93,594.85,597.98,103903204
7/21/2014,598.11,604.64,596.96,601.04,111554600
7/18/2014,590.9,596.26,589.33,596.26,144369890
7/17/2014,588.99,591.42,586.07,590.37,96550889
7/16/2014,594.13,594.29,589.68,589.68,138138520
7/15/2014,587.92,590.09,587.68,589.31,137424848
7/14/2014,583.55,586.23,581.99,586.23,68061940
7/11/2014,584.29,586.57,580.54,582.77,78299428
7/10/2014,591.21,591.35,581.49,584.88,152831885
7/9/2014,591.82,593.42,590.46,591.6,109819763
7/8/2014,591.63,593.4,588.54,591.47,96629270
7/7/2014,592.23,594.84,589.61,590.69,127746391
7/4/2014,585.66,591.38,585.66,589.35,132764372
7/3/2014,581.24,585.02,580.55,585.02,131463926
7/2/2014,578.9,581.89,576.88,578.8,109096029
7/1/2014,578.93,582.16,577.3,578.07,104403768
6/30/2014,578.28,582.26,577.76,578.13,76496630
6/27/2014,576.29,580.75,575.1,578.82,74414898
6/26/2014,572.23,578.29,570.33,576.4,123938238
6/25/2014,570.33,574.62,569.27,572.27,96490753
6/24/2014,565.47,570.37,565.12,569.74,67575649
6/23/2014,561.97,567.71,561.97,565.92,62543580
6/20/2014,568.45,571.76,560.78,560.78,123445643
6/19/2014,564.93,569.41,558.65,567.35,124333699
6/18/2014,571.74,575.03,570.03,570.03,99955525
6/17/2014,571.8,573.15,567.58,572.25,108669056
6/16/2014,575.2,575.87,571.76,572.37,87593555
6/13/2014,573.58,577.27,573.03,574.48,72408393
6/12/2014,571.19,574.75,568.58,573.77,96141153
6/11/2014,567.77,573.05,566.51,570.36,85221016
6/10/2014,566.31,571.73,564.32,566.89,79447283
6/9/2014,559.04,571.83,558.64,565.61,112503448
6/6/2014,553.62,559.04,551.8,559.04,60850320
6/5/2014,552.2,553.96,548.47,551.1,59225435
6/4/2014,559.13,559.19,550.23,553.46,67931489
6/3/2014,557.34,560.62,554.96,558.76,58635970
6/2/2014,560.29,563.12,554.44,556.8,80227000
