Ngày,"Số người tiếp cận được","CPC (Chi phí trên mỗi lượt click vào liên kết)","Tần suất","Số lượt click vào liên kết","Chỉ số Signup","CPM (Chi phí trên mỗi 1.000 lần hiển thị)","Số tiền đã chi tiêu (VND)","CTR (Tỷ lệ nhấp vào liên kết)","Bình luận về bài viết","Số lượt chia sẻ bài viết","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-06-20,934,10879.21428571,1.1820128479657,14,66.71428571,137961.05072464,152309,1.268115942029,,,2019-06-20,2019-06-20
2019-06-13,1888,18007.14285714,1.0873940677966,14,134.85714286,122795.90842669,252100,0.68192888455918,,,2019-06-13,2019-06-13
2019-05-05,686,8104.85714286,1.1880466472303,14,49,139224.5398773,113468,1.7177914110429,,,2019-05-05,2019-05-05
2019-08-28,2089,21511.91666667,1.1886069889899,12,174.08333333,103964.15626259,258143,0.48328634716069,,,2019-08-28,2019-08-28
2019-07-12,1690,7803.58333333,1.1633136094675,12,140.83333333,47631.23092574,93643,0.61037639877925,,,2019-07-12,2019-07-12
2019-02-26,1533,6365.54545455,1.17742987606,11,139.36363636,38792.79778393,70021,0.60941828254848,,,2019-02-26,2019-02-26
2019-07-13,1667,8903.09090909,1.0953809238152,11,151.54545455,53633.07776561,97934,0.60240963855422,,,2019-07-13,2019-07-13
2019-07-14,1466,10116.4,1.1316507503411,10,146.6,60978.90295359,101164,0.60277275467149,,,2019-07-14,2019-07-14
2019-06-16,520,6694.8,1.1903846153846,10,52,108155.08885299,66948,1.6155088852989,,,2019-06-16,2019-06-16
2019-06-07,581,8678.7,1.2030981067126,10,58.1,124158.79828326,86787,1.4306151645207,1,,2019-06-07,2019-06-07
2019-06-09,873,9926.8,1.2107674684994,10,87.3,93914.85335856,99268,0.94607379375591,1,,2019-06-09,2019-06-09
2019-06-22,410,5703.44444444,1.2658536585366,9,45.55555556,98903.66088632,51331,1.7341040462428,,,2019-06-22,2019-06-22
2019-06-23,1027,10096.44444444,1.1772151898734,9,114.11111111,75159.63606286,90868,0.74441687344913,,,2019-06-23,2019-06-23
2019-07-11,1233,7516.66666667,1.0802919708029,9,137,50788.28828829,67650,0.67567567567568,,1,2019-07-11,2019-07-11
2019-06-21,345,5916.5,1.063768115942,8,43.125,128970.02724796,47332,2.1798365122616,1,,2019-06-21,2019-06-21
2019-02-27,1560,14465.71428571,1.1429487179487,7,222.85714286,56791.92372406,101260,0.39259674705552,2,1,2019-02-27,2019-02-27
2019-06-08,757,12821.5,1.1202113606341,6,126.16666667,90718.16037736,76929,0.70754716981132,,,2019-06-08,2019-06-08
