Date,CTG,BID,VCB
2019/09/17,20750,39600,80300
2019/09/16,20750,38600,80200
2019/09/13,20850,38450,81100
2019/09/12,20150,37250,78700
2019/09/11,19800,36800,77400
2019/09/10,19750,36900,76900
2019/09/09,19950,36700,76400
2019/09/06,19900,36600,76500
2019/09/05,19950,37100,76800
2019/09/04,20000,37200,76500
2019/09/03,19950,37300,77000
2019/08/30,20200,37350,76900
2019/08/29,20200,36500,76000
2019/08/28,20250,36200,76200
2019/08/27,20300,36100,75700
2019/08/26,20300,36450,77000
2019/08/23,20500,36150,78400
2019/08/22,20600,36200,79200
2019/08/21,20750,36450,79200
2019/08/20,20600,35400,76100
2019/08/19,20500,35300,76000
2019/08/16,20500,34600,77100
2019/08/15,20400,33700,78200
2019/08/14,20500,33700,75500
2019/08/13,20600,33500,75500
2019/08/12,20350,33950,76900
2019/08/09,20500,33300,77700
2019/08/08,20450,33300,77700
2019/08/07,20200,33300,77600
2019/08/06,20200,33800,75500
2019/08/05,20350,34400,76600
2019/08/02,20350,34400,78300
2019/08/01,20400,34050,79700
2019/07/31,20750,34100,79400
2019/07/30,20700,33600,79800
2019/07/29,20900,34400,80200
2019/07/26,21200,34400,77700
2019/07/25,21250,33800,76900
2019/07/24,21250,33050,76100
2019/07/23,21650,33850,78100
2019/07/22,21600,34350,78200
2019/07/19,21850,33500,78200
2019/07/18,21650,33300,75600
2019/07/17,21900,33150,75400
2019/07/16,21700,33150,76400
2019/07/15,21500,31900,74200
2019/07/12,21450,32000,72900
2019/07/11,21550,32050,73200
2019/07/10,21000,31000,71700
2019/07/09,20950,31200,71100
2019/07/08,20900,31150,70500
2019/07/05,21150,31400,71800
2019/07/04,21150,31400,71700
2019/07/03,21050,30700,68800
2019/07/02,20800,30650,69700
2019/07/01,20850,30950,70500
2019/06/28,19500,30300,69700
2019/06/27,20650,30600,68700
2019/06/26,20900,31100,69700
2019/06/25,21050,30700,71600
2019/06/24,21400,31200,72200
2019/06/21,21400,31100,70200
2019/06/20,21000,31250,70700
2019/06/19,20250,30600,69000
2019/06/18,20250,30600,69500
2019/06/17,20450,30700,68400
2019/06/14,20300,30750,68400
2019/06/13,20150,30100,66500
2019/06/12,20250,30100,66200
2019/06/11,20500,30500,66600
2019/06/10,20500,30300,65900
2019/06/07,20450,30300,64800
2019/06/06,20300,29900,65100
2019/06/05,20100,30000,65900
2019/06/04,20000,30600,66400
2019/06/03,19900,29200,65700
2019/05/31,20300,30100,66400
2019/05/30,20650,30400,66900
2019/05/29,20650,30600,66700
2019/05/28,21000,30900,66600
2019/05/27,21200,31200,66600
2019/05/24,21200,31100,65700
2019/05/23,21500,32000,66800
2019/05/22,21550,31800,66400
2019/05/21,21250,31650,66900
2019/05/20,21350,31300,67000
2019/05/17,21200,30750,66000
2019/05/16,21100,31200,66000
2019/05/15,21150,31500,66000
2019/05/14,20550,31000,65800
2019/05/13,20450,31300,65100
2019/05/10,20300,30600,64800
2019/05/09,20100,29700,64700
2019/05/08,20450,30950,64300
2019/05/07,20400,31700,64800
2019/05/06,20450,31700,65500
2019/05/03,20900,32800,65900
2019/05/02,21000,33100,66100
2019/04/26,21250,33400,67100
2019/04/25,21050,33100,66900
2019/04/24,21400,33200,67700
2019/04/23,20850,32800,66700
2019/04/22,20500,32800,67100
2019/04/19,20800,33450,67200
2019/04/18,21000,33400,67100
2019/04/17,21450,33400,67200
2019/04/16,21550,34100,66600
2019/04/12,21850,33350,67200
2019/04/11,21950,33750,67700
2019/04/10,21900,33800,68100
2019/04/09,22150,34350,69000
2019/04/08,22300,34100,68900
2019/04/05,21900,33650,67300
2019/04/04,22000,33900,66900
2019/04/03,21800,34300,66400
2019/04/02,22000,33400,66700
2019/04/01,22250,34100,67000
2019/03/29,22450,34400,66500
2019/03/28,22650,34200,65900
2019/03/27,22500,33500,64700
2019/03/26,22350,32900,64700
2019/03/25,22150,33100,64700
2019/03/22,22500,33700,66100
2019/03/21,22100,33400,65800
2019/03/20,23000,34700,65900
2019/03/19,23100,35200,66000
