Date,Time,Close
2019/09/23,09:00:00,21000
2019/09/20,09:00:00,21100
2019/09/19,09:00:00,21250
2019/09/18,09:00:00,20800
2019/09/17,09:00:00,20750
2019/09/16,09:00:00,20750
2019/09/13,09:00:00,20850
2019/09/12,09:00:00,20150
2019/09/11,09:00:00,19800
2019/09/10,09:00:00,19750
2019/09/09,09:00:00,19950
2019/09/06,09:00:00,19900
2019/09/05,09:00:00,19950
2019/09/04,09:00:00,20000
2019/09/03,09:00:00,19950
2019/08/30,09:00:00,20200
2019/08/29,09:00:00,20200
2019/08/28,09:00:00,20250
2019/08/27,09:00:00,20300
2019/08/26,09:00:00,20300
2019/08/23,09:00:00,20500
2019/08/22,09:00:00,20600
2019/08/21,09:00:00,20750
2019/08/20,09:00:00,20600
2019/08/19,09:00:00,20500
2019/08/16,09:00:00,20500
2019/08/15,09:00:00,20400
2019/08/14,09:00:00,20500
2019/08/13,09:00:00,20600
2019/08/12,09:00:00,20350
2019/08/09,09:00:00,20500
2019/08/08,09:00:00,20450
2019/08/07,09:00:00,20200
2019/08/06,09:00:00,20200
2019/08/05,09:00:00,20350
2019/08/02,09:00:00,20350
2019/08/01,09:00:00,20400
2019/07/31,09:00:00,20750
2019/07/30,09:00:00,20700
2019/07/29,09:00:00,20900
2019/07/26,09:00:00,21200
2019/07/25,09:00:00,21250
2019/07/24,09:00:00,21250
2019/07/23,09:00:00,21650
2019/07/22,09:00:00,21600
2019/07/19,09:00:00,21850
2019/07/18,09:00:00,21650
2019/07/17,09:00:00,21900
2019/07/16,09:00:00,21700
2019/07/15,09:00:00,21500
2019/07/12,09:00:00,21450
2019/07/11,09:00:00,21550
2019/07/10,09:00:00,21000
2019/07/09,09:00:00,20950
2019/07/08,09:00:00,20900
2019/07/05,09:00:00,21150
2019/07/04,09:00:00,21150
2019/07/03,09:00:00,21050
2019/07/02,09:00:00,20800
2019/07/01,09:00:00,20850
2019/06/28,09:00:00,19500
2019/06/27,09:00:00,20650
2019/06/26,09:00:00,20900
2019/06/25,09:00:00,21050
2019/06/24,09:00:00,21400
2019/06/21,09:00:00,21400
2019/06/20,09:00:00,21000
2019/06/19,09:00:00,20250
2019/06/18,09:00:00,20250
2019/06/17,09:00:00,20450
2019/06/14,09:00:00,20300
2019/06/13,09:00:00,20150
2019/06/12,09:00:00,20250
2019/06/11,09:00:00,20500
2019/06/10,09:00:00,20500
2019/06/07,09:00:00,20450
2019/06/06,09:00:00,20300
2019/06/05,09:00:00,20100
2019/06/04,09:00:00,20000
2019/06/03,09:00:00,19900
2019/05/31,09:00:00,20300
2019/05/30,09:00:00,20650
2019/05/29,09:00:00,20650
2019/05/28,09:00:00,21000
2019/05/27,09:00:00,21200
2019/05/24,09:00:00,21200
2019/05/23,09:00:00,21500
2019/05/22,09:00:00,21550
2019/05/21,09:00:00,21250
2019/05/20,09:00:00,21350
2019/05/17,09:00:00,21200
2019/05/16,09:00:00,21100
2019/05/15,09:00:00,21150
2019/05/14,09:00:00,20550
2019/05/13,09:00:00,20450
2019/05/10,09:00:00,20300
2019/05/09,09:00:00,20100
2019/05/08,09:00:00,20450
2019/05/07,09:00:00,20400
2019/05/06,09:00:00,20450
2019/05/03,09:00:00,20900
2019/05/02,09:00:00,21000
2019/04/26,09:00:00,21250
2019/04/25,09:00:00,21050
2019/04/24,09:00:00,21400
2019/04/23,09:00:00,20850
2019/04/22,09:00:00,20500
2019/04/19,09:00:00,20800
2019/04/18,09:00:00,21000
2019/04/17,09:00:00,21450
2019/04/16,09:00:00,21550
2019/04/12,09:00:00,21850
2019/04/11,09:00:00,21950
2019/04/10,09:00:00,21900
2019/04/09,09:00:00,22150
2019/04/08,09:00:00,22300
2019/04/05,09:00:00,21900
